SCAN_INDEX,X,Y,Z,SIGNAL_STRENGTH
0,514.632,4.864,419.057,0
0,671.95,67.081,420.445,83
0,540.094,78.642,419.51,44
0,597.259,153.948,420.425,66
0,546.551,33.392,419.693,40
0,590.638,65.14,419.772,60
0,692.994,184.412,419.558,54
0,697.31,243.389,419.761,78
0,445.442,32.153,422.752,64
0,547.118,140.817,420.069,100
0,634.983,218.927,419.411,18
0,685.849,42.488,419.575,9
0,415.135,2.276,435.748,15
0,647.117,26.956,419.609,13
0,613.792,176.018,418.877,14
0,624.859,2.971,420.006,26
0,547.677,105.97,419.57,24
0,560.073,10.891,420.078,79
0,600.963,114.394,420.439,124
0,680.014,240.404,420.193,117
0,697.671,5.608,419.804,39
0,634.467,50.465,427.455,9
0,634.15,187.404,418.24,2
0,644.74,30.823,419.753,18
0,471.41,18.149,421.315,52
0,595.125,174.277,419.074,11
0,684.334,347.903,421.132,77
0,638.499,138.587,419.63,79
0,645.691,284.116,419.65,82
0,478.096,13.931,420.898,75
0,692.436,117.841,420.328,83
0,597.051,132.622,419.746,66
0,697.363,308.95,436.887,5
0,631.587,271.178,419.614,29
0,624.381,155.729,419.003,23
0,636.567,129.121,419.919,91
0,686.347,34.194,419.577,9
0,501.552,48.069,419.819,73
0,638.242,72.743,417.821,92
0,632.669,70.715,420.028,100
0,614.788,0.995,420.242,66
0,646.654,221.805,419.993,94
0,679.381,278.493,426.859,137
0,600.493,154.59,420.043,81
0,448.403,13.507,428.828,136
0,556.866,131.783,419.815,85
0,665.031,194.396,419.094,22
0,625.678,42.865,420.425,73
0,663.017,16.906,419.471,7
0,420.029,21.93,448.809,21
0,662.033,273.744,420.056,102
0,526.89,150.793,419.153,7
0,628.047,22.955,419.821,53
0,446.677,6.581,427.711,25
0,430.87,17.646,449.682,0
0,679.76,319.444,445.93,22
0,620.196,110.507,419.6,21
0,550.348,138.755,420.254,86
0,699.996,256.197,440.892,13
0,533.464,82.829,419.637,54
0,653.298,49.76,420.306,70
0,679.866,125.88,419.129,58
0,671.042,3.776,419.798,20
0,603.041,102.601,419.499,19
0,500.838,78.604,419.383,17
0,651.948,121.992,419.513,106
0,642.387,293.109,434.76,2
0,437.383,9.654,465.823,100
0,654.866,95.999,419.173,24
0,616.525,120.301,419.349,9
0,651.514,210.769,419.052,12
0,677.649,231.686,419.464,16
0,560.552,60.183,419.672,62
0,559.738,49.753,419.607,45
0,570.008,102.619,419.726,46
0,571.402,154.412,419.317,17
0,679.072,337.726,420.354,103
0,551.332,49.692,419.312,11
0,675.752,59.238,420.121,66
0,622.008,85.042,419.818,79
0,600.345,72.66,419.33,29
0,684.396,165.69,419.275,19
0,688.741,227.228,418.999,6
0,565.52,5.162,419.135,4
0,694.6,39.027,419.481,5
0,685.989,285.361,423.518,95
0,610.59,145.608,419.168,51
0,664.863,82.226,419.154,108
0,543,27.737,419.931,90
0,650.135,81.132,417.053,67
0,524.952,80.196,419.819,81
0,658.575,222.182,419.59,27
0,486.078,41.753,419.076,0
0,638.428,219.02,419.75,35
0,572.073,188.85,419.692,96
0,656.417,45.453,419.685,14
0,674.162,194.159,419.044,11
0,672.54,61.273,420.154,69
